a,ə,(∅ ə ∅)
delight,dɪˈlaɪt,(d ɪ ∅) ˈ(l aɪ t)
deliver,dɪˈlɪvə,(d ɪ ∅) ˈ(l ɪ ∅) (v ə ∅)
delivery,dɪˈlɪvəri,(d ɪ ∅) ˈ(l ɪ ∅) (v ə ∅) (r i ∅)
demand,dɪˈmɑːnd,(d ɪ ∅) ˈ(m ɑː nd)
democracy,dɪˈmɒkrəsi,(d ɪ ∅) ˈ(m ɒ ∅) (kr ə ∅) (s i ∅)
democrat,ˈdeməkrat,ˈ(d e ∅) (m ə ∅) (kr a t)
democratic,ˌdeməˈkratɪk,ˌ(d e ∅) (m ə ∅) ˈ(kr a ∅) (t ɪ k)
demographic,ˌdeməˈgrafɪk,ˌ(d e ∅) (m ə ∅) ˈ(gr a ∅) (f ɪ k)
demonstrate,ˈdemənstreɪt,ˈ(d e ∅) (m ə n) (str eɪ t)
demonstration,ˌdemənˈstreɪʃn̩,ˌ(d e ∅) (m ə n) ˈ(str eɪ ∅) (ʃ n̩ ∅)
denial,dɪˈnaɪəl,(d ɪ ∅) ˈ(n aɪ ∅) (∅ ə l)
dense,dens,(d e ns)
density,ˈdensɪti,ˈ(d e n) (s ɪ ∅) (t i ∅)
deny,dɪˈnaɪ,(d ɪ ∅) ˈ(n aɪ ∅)
depart,dɪˈpɑːt,(d ɪ ∅) ˈ(p ɑː t)
department,dɪˈpɑːtmənt,(d ɪ ∅) ˈ(p ɑː t) (m ə nt)
departure,dɪˈpɑːʧə,(d ɪ ∅) ˈ(p ɑː ∅) (ʧ ə ∅)
depend,dɪˈpend,(d ɪ ∅) ˈ(p e nd)
dependent,dɪˈpendənt,(d ɪ ∅) ˈ(p e n) (d ə nt)
depending,dɪˈpendɪŋ,(d ɪ ∅) ˈ(p e n) (d ɪ ŋ)
depict,dɪˈpɪkt,(d ɪ ∅) ˈ(p ɪ kt)
deploy,dɪˈplɔɪ,(d ɪ ∅) ˈ(pl ɔɪ ∅)
deposit,dɪˈpɒzɪt,(d ɪ ∅) ˈ(p ɒ ∅) (z ɪ t)
depressed,dɪˈprest,(d ɪ ∅) ˈ(pr e st)
depression,dɪˈpreʃn̩,(d ɪ ∅) ˈ(pr e ∅) (ʃ n̩ ∅)
depth,depθ,(d e pθ)
deputy,ˈdepjʊti,ˈ(d e ∅) (pj ʊ ∅) (t i ∅)
derive,dɪˈraɪv,(d ɪ ∅) ˈ(r aɪ v)
descend,dɪˈsend,(d ɪ ∅) ˈ(s e nd)
describe,dɪˈskraɪb,(d ɪ ∅) ˈ(skr aɪ b)
description,dɪˈskrɪpʃn̩,(d ɪ ∅) ˈ(skr ɪ p) (ʃ n̩ ∅)
desert,ˈdezət,ˈ(d e ∅) (z ə t)
deserve,dɪˈzɜːv,(d ɪ ∅) ˈ(z ɜː v)
design,dɪˈzaɪn,(d ɪ ∅) ˈ(z aɪ n)
designer,dɪˈzaɪnə,(d ɪ ∅) ˈ(z aɪ ∅) (n ə ∅)
desire,dɪˈzaɪə,(d ɪ ∅) ˈ(z aɪ ∅) (∅ ə ∅)
desk,desk,(d e sk)
desperate,ˈdespərət,ˈ(d e ∅) (sp ə ∅) (r ə t)
desperately,ˈdespərətli,ˈ(d e ∅) (sp ə ∅) (r ə t) (l i ∅)
despite,dɪˈspaɪt,(d ɪ ∅) ˈ(sp aɪ t)
dessert,dɪˈzɜːt,(d ɪ ∅) ˈ(z ɜː t)
destination,ˌdestɪˈneɪʃn̩,ˌ(d e ∅) (st ɪ ∅) ˈ(n eɪ ∅) (ʃ n̩ ∅)
destroy,dɪˈstrɔɪ,(d ɪ ∅) ˈ(str ɔɪ ∅)
destruction,dɪˈstrʌkʃn̩,(d ɪ ∅) ˈ(str ʌ k) (ʃ n̩ ∅)
detail,ˈdiːteɪl,ˈ(d iː ∅) (t eɪ l)
detailed,ˈdiːteɪld,ˈ(d iː ∅) (t eɪ ld)
detect,dɪˈtekt,(d ɪ ∅) ˈ(t e kt)
detective,dɪˈtektɪv,(d ɪ ∅) ˈ(t e k) (t ɪ v)
determination,dɪˌtɜːmɪˈneɪʃn̩,(d ɪ ∅) ˌ(t ɜː ∅) (m ɪ ∅) ˈ(n eɪ ∅) (ʃ n̩ ∅)
determine,dɪˈtɜːmɪn,(d ɪ ∅) ˈ(t ɜː ∅) (m ɪ n)
devastating,ˈdevəsteɪtɪŋ,ˈ(d e ∅) (v ə ∅) (st eɪ ∅) (t ɪ ŋ)
develop,dɪˈveləp,(d ɪ ∅) ˈ(v e ∅) (l ə p)
developer,dɪˈveləpə,(d ɪ ∅) ˈ(v e ∅) (l ə ∅) (p ə ∅)
developing,dɪˈveləpɪŋ,(d ɪ ∅) ˈ(v e ∅) (l ə ∅) (p ɪ ŋ)
development,dɪˈveləpmənt,(d ɪ ∅) ˈ(v e ∅) (l ə p) (m ə nt)
developmental,dɪˌveləpˈmentəl,(d ɪ ∅) ˌ(v e ∅) (l ə p) ˈ(m e n) (t ə l)
device,dɪˈvaɪs,(d ɪ ∅) ˈ(v aɪ s)
devil,ˈdevəl,ˈ(d e ∅) (v ə l)
devote,dɪˈvəʊt,(d ɪ ∅) ˈ(v əʊ t)
diabetes,ˌdaɪəˈbiːtɪz,ˌ(d aɪ ∅) (∅ ə ∅) ˈ(b iː ∅) (t ɪ z)
diagnose,ˈdaɪəgnəʊz,ˈ(d aɪ ∅) (∅ ə g) (n əʊ z)
diagnosis,ˌdaɪəgˈnəʊsɪs,ˌ(d aɪ ∅) (∅ ə g) ˈ(n əʊ ∅) (s ɪ s)
dialogue,ˈdaɪəlɒg,ˈ(d aɪ ∅) (∅ ə ∅) (l ɒ g)
diamond,ˈdaɪmənd,ˈ(d aɪ ∅) (m ə nd)
diary,ˈdaɪəri,ˈ(d aɪ ∅) (∅ ə ∅) (r i ∅)
dictate,dɪkˈteɪt,(d ɪ k) ˈ(t eɪ t)
die,daɪ,(d aɪ ∅)
diet,ˈdaɪət,ˈ(d aɪ ∅) (∅ ə t)
differ,ˈdɪfə,ˈ(d ɪ ∅) (f ə ∅)
difference,ˈdɪfrəns,ˈ(d ɪ ∅) (fr ə ns)
different,ˈdɪfrənt,ˈ(d ɪ ∅) (fr ə nt)
differently,ˈdɪfrəntli,ˈ(d ɪ ∅) (fr ə nt) (l i ∅)
difficult,ˈdɪfɪkəlt,ˈ(d ɪ ∅) (f ɪ ∅) (k ə lt)
difficulty,ˈdɪfɪkəlti,ˈ(d ɪ ∅) (f ɪ ∅) (k ə l) (t i ∅)
dig,dɪg,(d ɪ g)
digital,ˈdɪʤɪtəl,ˈ(d ɪ ∅) (ʤ ɪ ∅) (t ə l)
dignity,ˈdɪgnɪti,ˈ(d ɪ g) (n ɪ ∅) (t i ∅)
dilemma,dɪˈlemə,(d ɪ ∅) ˈ(l e ∅) (m ə ∅)
dimension,dɪˈmenʃn̩,(d ɪ ∅) ˈ(m e n) (ʃ n̩ ∅)
diminish,dɪˈmɪnɪʃ,(d ɪ ∅) ˈ(m ɪ ∅) (n ɪ ʃ)
dining,ˈdaɪnɪŋ,ˈ(d aɪ ∅) (n ɪ ŋ)
dinner,ˈdɪnə,ˈ(d ɪ ∅) (n ə ∅)
dip,dɪp,(d ɪ p)
diplomat,ˈdɪpləmat,ˈ(d ɪ ∅) (pl ə ∅) (m a t)
diplomatic,ˌdɪpləˈmatɪk,ˌ(d ɪ ∅) (pl ə ∅) ˈ(m a ∅) (t ɪ k)
direct,dɪˈrekt,(d ɪ ∅) ˈ(r e kt)
direction,dɪˈrekʃn̩,(d ɪ ∅) ˈ(r e k) (ʃ n̩ ∅)
directly,dɪˈrektli,(d ɪ ∅) ˈ(r e kt) (l i ∅)
director,dɪˈrektə,(d ɪ ∅) ˈ(r e k) (t ə ∅)
dirt,dɜːt,(d ɜː t)
dirty,ˈdɜːti,ˈ(d ɜː ∅) (t i ∅)
disability,ˌdɪsəˈbɪlɪti,ˌ(d ɪ s) (∅ ə ∅) ˈ(b ɪ ∅) (l ɪ ∅) (t i ∅)
disabled,dɪsˈeɪbɫ̩d,(d ɪ s) ˈ(∅ eɪ ∅) (b ɫ̩ d)
disagree,ˌdɪsəˈgriː,ˌ(d ɪ s) (∅ ə ∅) ˈ(gr iː ∅)
disappear,ˌdɪsəˈpiə,ˌ(d ɪ s) (∅ ə ∅) ˈ(p iə ∅)
disappointed,ˌdɪsəˈpɔɪntɪd,ˌ(d ɪ s) (∅ ə ∅) ˈ(p ɔɪ n) (t ɪ d)
disappointment,ˌdɪsəˈpɔɪntmənt,ˌ(d ɪ s) (∅ ə ∅) ˈ(p ɔɪ nt) (m ə nt)
disaster,dɪˈzɑːstə,(d ɪ ∅) ˈ(z ɑː ∅) (st ə ∅)
disc,dɪsk,(d ɪ sk)
discipline,ˈdɪsɪplɪn,ˈ(d ɪ ∅) (s ɪ ∅) (pl ɪ n)
disclose,dɪsˈkləʊz,(d ɪ s) ˈ(kl əʊ z)
discount,ˈdɪskaʊnt,ˈ(d ɪ s) (k aʊ nt)
discourage,dɪsˈkʌrɪʤ,(d ɪ s) ˈ(k ʌ ∅) (r ɪ ʤ)
discourse,ˈdɪskɔːs,ˈ(d ɪ s) (k ɔː s)
discover,dɪˈskʌvə,(d ɪ ∅) ˈ(sk ʌ ∅) (v ə ∅)
discovery,dɪˈskʌvəri,(d ɪ ∅) ˈ(sk ʌ ∅) (v ə ∅) (r i ∅)
discrimination,dɪˌskrɪmɪˈneɪʃn̩,(d ɪ ∅) ˌ(skr ɪ ∅) (m ɪ ∅) ˈ(n eɪ ∅) (ʃ n̩ ∅)
discuss,dɪˈskʌs,(d ɪ ∅) ˈ(sk ʌ s)
discussion,dɪˈskʌʃn̩,(d ɪ ∅) ˈ(sk ʌ ∅) (ʃ n̩ ∅)
disease,dɪˈziːz,(d ɪ ∅) ˈ(z iː z)
dish,dɪʃ,(d ɪ ʃ)
disk,dɪsk,(d ɪ sk)
dismiss,dɪzˈmɪs,(d ɪ s) ˈ(m ɪ s)
disorder,dɪsˈɔːdə,(d ɪ s) ˈ(∅ ɔː ∅) (d ə ∅)
display,dɪˈspleɪ,(d ɪ ∅) ˈ(spl eɪ ∅)
dispute,dɪˈspjuːt,(d ɪ ∅) ˈ(spj uː t)
dissolve,dɪˈzɒlv,(d ɪ ∅) ˈ(z ɒ lv)
distance,ˈdɪstəns,ˈ(d ɪ ∅) (st ə ns)
distant,ˈdɪstənt,ˈ(d ɪ ∅) (st ə nt)
distinct,dɪˈstɪŋkt,(d ɪ ∅) ˈ(st ɪ ŋkt)
distinction,dɪˈstɪŋkʃn̩,(d ɪ ∅) ˈ(st ɪ ŋk) (ʃ n̩ ∅)
distinctive,dɪˈstɪŋktɪv,(d ɪ ∅) ˈ(st ɪ ŋk) (t ɪ v)
distinguish,dɪˈstɪŋgwɪʃ,(d ɪ ∅) ˈ(st ɪ ŋ) (gw ɪ ʃ)
distract,dɪˈstrakt,(d ɪ ∅) ˈ(str a kt)
distribute,dɪˈstrɪbjuːt,(d ɪ ∅) ˈ(str ɪ ∅) (bj uː t)
distribution,ˌdɪstrɪˈbjuːʃn̩,ˌ(d ɪ ∅) (str ɪ ∅) ˈ(bj uː ∅) (ʃ n̩ ∅)
district,ˈdɪstrɪkt,ˈ(d ɪ ∅) (str ɪ kt)
disturb,dɪˈstɜːb,(d ɪ ∅) ˈ(st ɜː b)
disturbing,dɪˈstɜːbɪŋ,(d ɪ ∅) ˈ(st ɜː ∅) (b ɪ ŋ)
diverse,daɪˈvɜːs,(d aɪ ∅) ˈ(v ɜː s)
diversity,daɪˈvɜːsɪti,(d aɪ ∅) ˈ(v ɜː ∅) (s ɪ ∅) (t i ∅)
divide,dɪˈvaɪd,(d ɪ ∅) ˈ(v aɪ d)
divine,dɪˈvaɪn,(d ɪ ∅) ˈ(v aɪ n)
division,dɪˈvɪʒn̩,(d ɪ ∅) ˈ(v ɪ ∅) (ʒ n̩ ∅)
divorce,dɪˈvɔːs,(d ɪ ∅) ˈ(v ɔː s)
do,duː,(d uː ∅)
dock,ˈdɒk,ˈ(d ɒ k)
doctor,ˈdɒktə,ˈ(d ɒ k) (t ə ∅)
doctrine,ˈdɒktrɪn,ˈ(d ɒ k) (tr ɪ n)
document,ˈdɒkjʊment,ˈ(d ɒ ∅) (kj ʊ ∅) (m e nt)
documentary,ˌdɒkjʊˈmentəri,ˌ(d ɒ ∅) (kj ʊ ∅) ˈ(m e n) (t ə ∅) (r i ∅)
dog,dɒg,(d ɒ g)
doll,dɒl,(d ɒ l)
domain,dəʊˈmeɪn,(d əʊ ∅) ˈ(m eɪ n)
domestic,dəˈmestɪk,(d ə ∅) ˈ(m e ∅) (st ɪ k)
dominant,ˈdɒmɪnənt,ˈ(d ɒ ∅) (m ɪ ∅) (n ə nt)
dominate,ˈdɒmɪneɪt,ˈ(d ɒ ∅) (m ɪ ∅) (n eɪ t)
donate,dəʊˈneɪt,(d əʊ ∅) ˈ(n eɪ t)
donation,dəʊˈneɪʃn̩,(d əʊ ∅) ˈ(n eɪ ∅) (ʃ n̩ ∅)
donor,ˈdəʊnə,ˈ(d əʊ ∅) (n ə ∅)
door,dɔː,(d ɔː ∅)
doorway,ˈdɔːweɪ,ˈ(d ɔː ∅) (w eɪ ∅)
dose,dəʊs,(d əʊ s)
dot,dɒt,(d ɒ t)
double,ˈdʌbɫ̩,ˈ(d ʌ ∅) (b ɫ̩ ∅)
doubt,daʊt,(d aʊ t)
dough,dəʊ,(d əʊ ∅)
down,daʊn,(d aʊ n)
downtown,ˈdaʊntaʊn,ˈ(d aʊ n) (t aʊ n)
dozen,ˈdʌzn̩,ˈ(d ʌ ∅) (z n̩ ∅)
draft,drɑːft,(dr ɑː ft)
drag,drag,(dr a g)
drain,dreɪn,(dr eɪ n)
drama,ˈdrɑːmə,ˈ(dr ɑː ∅) (m ə ∅)
dramatic,drəˈmatɪk,(dr ə ∅) ˈ(m a ∅) (t ɪ k)
dramatically,drəˈmatɪkli,(dr ə ∅) ˈ(m a ∅) (t ɪ ∅) (kl i ∅)
draw,drɔː,(dr ɔː ∅)
drawer,drɔː,(dr ɔː ∅)
drawing,ˈdrɔːɪŋ,ˈ(dr ɔː ∅) (∅ ɪ ŋ)
dream,driːm,(dr iː m)
dress,dres,(dr e s)
dried,draɪd,(dr aɪ d)
drift,drɪft,(dr ɪ ft)
drill,drɪl,(dr ɪ l)
drink,drɪŋk,(dr ɪ ŋk)
drinking,ˈdrɪŋkɪŋ,ˈ(dr ɪ ŋ) (k ɪ ŋ)
drive,draɪv,(dr aɪ v)
driver,ˈdraɪvə,ˈ(dr aɪ ∅) (v ə ∅)
driveway,ˈdraɪvweɪ,ˈ(dr aɪ v) (w eɪ ∅)
driving,ˈdraɪvɪŋ,ˈ(dr aɪ ∅) (v ɪ ŋ)
drop,drɒp,(dr ɒ p)
drown,draʊn,(dr aʊ n)
drug,ˈdrʌg,ˈ(dr ʌ g)
drum,drʌm,(dr ʌ m)
drunk,drʌŋk,(dr ʌ ŋk)
dry,draɪ,(dr aɪ ∅)
duck,dʌk,(d ʌ k)
due,djuː,(dj uː ∅)
dumb,dʌm,(d ʌ m)
dump,dʌmp,(d ʌ mp)
during,ˈdjʊərɪŋ,ˈ(dj ʊə ∅) (r ɪ ŋ)
dust,dʌst,(d ʌ st)
dutch,dʌʧ,(d ʌ ʧ)
duty,ˈdjuːti,ˈ(dj uː ∅) (t i ∅)
dying,ˈdaɪɪŋ,ˈ(d aɪ ∅) (∅ ɪ ŋ)
dynamic,daɪˈnamɪk,(d aɪ ∅) ˈ(n a ∅) (m ɪ k)
dynamics,daɪˈnamɪks,(d aɪ ∅) ˈ(n a ∅) (m ɪ ks)
each,iːʧ,(∅ iː ʧ)
eager,ˈiːgə,ˈ(∅ iː ∅) (g ə ∅)
ear,iə,(∅ iə ∅)
early,ˈɜːli,ˈ(∅ ɜː ∅) (l i ∅)
earn,ɜːn,(∅ ɜː n)
earnings,ˈɜːnɪŋz,ˈ(∅ ɜː ∅) (n ɪ ŋz)
earth,ɜːθ,(∅ ɜː θ)
earthquake,ˈɜːθkweɪk,ˈ(∅ ɜː θ) (kw eɪ k)
ease,iːz,(∅ iː z)
easily,ˈiːzəli,ˈ(∅ iː ∅) (z ə ∅) (l i ∅)
east,iːst,(∅ iː st)
eastern,ˈiːstən,ˈ(∅ iː ∅) (st ə n)
easy,ˈiːzi,ˈ(∅ iː ∅) (z i ∅)
eat,iːt,(∅ iː t)
eating,ˈiːtɪŋ,ˈ(∅ iː ∅) (t ɪ ŋ)
echo,ˈekəʊ,ˈ(∅ e ∅) (k əʊ ∅)
ecological,ˌiːkəˈlɒʤɪkəl,ˌ(∅ iː ∅) (k ə ∅) ˈ(l ɒ ∅) (ʤ ɪ ∅) (k ə l)
economic,ˌiːkəˈnɒmɪk,ˌ(∅ iː ∅) (k ə ∅) ˈ(n ɒ ∅) (m ɪ k)
economically,ˌiːkəˈnɒmɪkli,ˌ(∅ iː ∅) (k ə ∅) ˈ(n ɒ ∅) (m ɪ ∅) (kl i ∅)
economics,ˌiːkəˈnɒmɪks,ˌ(∅ iː ∅) (k ə ∅) ˈ(n ɒ ∅) (m ɪ ks)
economist,ɪˈkɒnəmɪst,(∅ ɪ ∅) ˈ(k ɒ ∅) (n ə ∅) (m ɪ st)
economy,ɪˈkɒnəmi,(∅ ɪ ∅) ˈ(k ɒ ∅) (n ə ∅) (m i ∅)
ecosystem,ˈiːkəʊsɪstəm,ˈ(∅ iː ∅) (k əʊ ∅) (s ɪ ∅) (st ə m)
edge,eʤ,(∅ e ʤ)
edit,ˈedɪt,ˈ(∅ e ∅) (d ɪ t)
edition,ɪˈdɪʃn̩,(∅ ɪ ∅) ˈ(d ɪ ∅) (ʃ n̩ ∅)
editor,ˈedɪtə,ˈ(∅ e ∅) (d ɪ ∅) (t ə ∅)
educate,ˈeʤʊkeɪt,ˈ(∅ e ∅) (ʤ ʊ ∅) (k eɪ t)
education,ˌeʤʊˈkeɪʃn̩,ˌ(∅ e ∅) (ʤ ʊ ∅) ˈ(k eɪ ∅) (ʃ n̩ ∅)
educational,ˌeʤʊˈkeɪʃn̩əl,ˌ(∅ e ∅) (ʤ ʊ ∅) ˈ(k eɪ ∅) (ʃ n̩ ∅) (∅ ə l)
educator,ˈeʤʊkeɪtə,ˈ(∅ e ∅) (ʤ ʊ ∅) (k eɪ ∅) (t ə ∅)
effect,ɪˈfekt,(∅ ɪ ∅) ˈ(f e kt)
effective,ɪˈfektɪv,(∅ ɪ ∅) ˈ(f e k) (t ɪ v)
effectively,ɪˈfektɪvli,(∅ ɪ ∅) ˈ(f e k) (t ɪ v) (l i ∅)
effectiveness,ɪˈfektɪvnəs,(∅ ɪ ∅) ˈ(f e k) (t ɪ v) (n ə s)
efficiency,ɪˈfɪʃənsi,(∅ ɪ ∅) ˈ(f ɪ ∅) (ʃ ə n) (s i ∅)
efficient,ɪˈfɪʃənt,(∅ ɪ ∅) ˈ(f ɪ ∅) (ʃ ə nt)
effort,ˈefət,ˈ(∅ e ∅) (f ə t)
egg,eg,(∅ e g)
ego,ˈegəʊ,ˈ(∅ e ∅) (g əʊ ∅)
eight,eɪt,(∅ eɪ t)
eighth,eɪtθ,(∅ eɪ tθ)
either,ˈaɪðə,ˈ(∅ aɪ ∅) (ð ə ∅)
elaborate,ɪˈlabəreɪt,(∅ ɪ ∅) ˈ(l a ∅) (b ə ∅) (r eɪ t)
elbow,ˈelbəʊ,ˈ(∅ e l) (b əʊ ∅)
elder,ˈeldə,ˈ(∅ e l) (d ə ∅)
elderly,ˈeldəli,ˈ(∅ e l) (d ə ∅) (l i ∅)
elect,ɪˈlekt,(∅ ɪ ∅) ˈ(l e kt)
election,ɪˈlekʃn̩,(∅ ɪ ∅) ˈ(l e k) (ʃ n̩ ∅)
electric,ɪˈlektrɪk,(∅ ɪ ∅) ˈ(l e k) (tr ɪ k)
electrical,ɪˈlektrɪkəl,(∅ ɪ ∅) ˈ(l e k) (tr ɪ ∅) (k ə l)
electricity,ɪˌlekˈtrɪsɪti,(∅ ɪ ∅) ˌ(l e k) ˈ(tr ɪ ∅) (s ɪ ∅) (t i ∅)
electronic,ˌɪlekˈtrɒnɪk,ˌ(∅ ɪ ∅) (l e k) ˈ(tr ɒ ∅) (n ɪ k)
electronics,ˌɪlekˈtrɒnɪks,ˌ(∅ ɪ ∅) (l e k) ˈ(tr ɒ ∅) (n ɪ ks)
elegant,ˈelɪgənt,ˈ(∅ e ∅) (l ɪ ∅) (g ə nt)
element,ˈelɪmənt,ˈ(∅ e ∅) (l ɪ ∅) (m ə nt)
elementary,ˌelɪˈmentəri,ˌ(∅ e ∅) (l ɪ ∅) ˈ(m e n) (t ə ∅) (r i ∅)
elephant,ˈelɪfənt,ˈ(∅ e ∅) (l ɪ ∅) (f ə nt)
elevator,ˈelɪveɪtə,ˈ(∅ e ∅) (l ɪ ∅) (v eɪ ∅) (t ə ∅)
eleven,ɪˈlevn̩,(∅ ɪ ∅) ˈ(l e ∅) (v n̩ ∅)
eligible,ˈelɪʤəbɫ̩,ˈ(∅ e ∅) (l ɪ ∅) (ʤ ə ∅) (b ɫ̩ ∅)
eliminate,ɪˈlɪmɪneɪt,(∅ ɪ ∅) ˈ(l ɪ ∅) (m ɪ ∅) (n eɪ t)
elite,eɪˈliːt,(∅ eɪ ∅) ˈ(l iː t)
else,els,(∅ e ls)
elsewhere,ˌelsˈweə,ˌ(∅ e ls) ˈ(w eə ∅)
email,ˈiːmeɪl,ˈ(∅ iː ∅) (m eɪ l)
embarrassed,ɪmˈbarəst,(∅ ɪ m) ˈ(b a ∅) (r ə st)
embrace,ɪmˈbreɪs,(∅ ɪ m) ˈ(br eɪ s)
emerge,ɪˈmɜːʤ,(∅ ɪ ∅) ˈ(m ɜː ʤ)
emergency,ɪˈmɜːʤənsi,(∅ ɪ ∅) ˈ(m ɜː ∅) (ʤ ə n) (s i ∅)
emerging,ɪˈmɜːʤɪŋ,(∅ ɪ ∅) ˈ(m ɜː ∅) (ʤ ɪ ŋ)
emission,ɪˈmɪʃn̩,(∅ ɪ ∅) ˈ(m ɪ ∅) (ʃ n̩ ∅)
emotion,ɪˈməʊʃn̩,(∅ ɪ ∅) ˈ(m əʊ ∅) (ʃ n̩ ∅)
emotional,ɪˈməʊʃn̩əl,(∅ ɪ ∅) ˈ(m əʊ ∅) (ʃ n̩ ∅) (∅ ə l)
emotionally,ɪˈməʊʃənəli,(∅ ɪ ∅) ˈ(m əʊ ∅) (ʃ ə ∅) (n ə ∅) (l i ∅)
emphasis,ˈemfəsɪs,ˈ(∅ e m) (f ə ∅) (s ɪ s)
emphasise,ˈemfəˌsaɪz,ˈ(∅ e m) (f ə ∅) ˌ(s aɪ z)
empire,ˈempaɪə,ˈ(∅ e m) (p aɪ ∅) (∅ ə ∅)
employ,ɪmˈplɔɪ,(∅ ɪ m) ˈ(pl ɔɪ ∅)
employee,ˌemplɔɪˈiː,ˌ(∅ e m) (pl ɔɪ ∅) ˈ(∅ iː ∅)
employer,ɪmˈplɔɪə,(∅ ɪ m) ˈ(pl ɔɪ ∅) (∅ ə ∅)
employment,ɪmˈplɔɪmənt,(∅ ɪ m) ˈ(pl ɔɪ ∅) (m ə nt)
empty,ˈempti,ˈ(∅ e mp) (t i ∅)
enable,ɪˈneɪbɫ̩,(∅ ɪ ∅) ˈ(n eɪ ∅) (b ɫ̩ ∅)
enact,ɪˈnakt,(∅ ɪ ∅) ˈ(n a kt)
encounter,ɪnˈkaʊntə,(∅ ɪ n) ˈ(k aʊ n) (t ə ∅)
encourage,ɪnˈkʌrɪʤ,(∅ ɪ n) ˈ(k ʌ ∅) (r ɪ ʤ)
encouraging,ɪnˈkʌrɪʤɪŋ,(∅ ɪ n) ˈ(k ʌ ∅) (r ɪ ∅) (ʤ ɪ ŋ)
end,end,(∅ e nd)
endless,ˈendləs,ˈ(∅ e nd) (l ə s)
endorse,ɪnˈdɔːs,(∅ ɪ n) ˈ(d ɔː s)
endure,ɪnˈdjʊə,(∅ ɪ n) ˈ(dj ʊə ∅)
enemy,ˈenəmi,ˈ(∅ e ∅) (n ə ∅) (m i ∅)
energy,ˈenəʤi,ˈ(∅ e ∅) (n ə ∅) (ʤ i ∅)
enforce,ɪnˈfɔːs,(∅ ɪ n) ˈ(f ɔː s)
enforcement,ɪnˈfɔːsmənt,(∅ ɪ n) ˈ(f ɔː s) (m ə nt)
engage,ɪnˈgeɪʤ,(∅ ɪ n) ˈ(g eɪ ʤ)
engagement,ɪnˈgeɪʤmənt,(∅ ɪ n) ˈ(g eɪ ʤ) (m ə nt)
engine,ˈenʤɪn,ˈ(∅ e n) (ʤ ɪ n)
engineer,ˌenʤɪˈniə,ˌ(∅ e n) (ʤ ɪ ∅) ˈ(n iə ∅)
engineering,ˌenʤɪˈniərɪŋ,ˌ(∅ e n) (ʤ ɪ ∅) ˈ(n iə ∅) (r ɪ ŋ)
english,ˈɪŋglɪʃ,ˈ(∅ ɪ ŋ) (gl ɪ ʃ)
enhance,ɪnˈhɑːns,(∅ ɪ n) ˈ(h ɑː ns)
enjoy,ɪnˈʤɔɪ,(∅ ɪ n) ˈ(ʤ ɔɪ ∅)
enormous,ɪˈnɔːməs,(∅ ɪ ∅) ˈ(n ɔː ∅) (m ə s)
enough,ɪˈnʌf,(∅ ɪ ∅) ˈ(n ʌ f)
enrol,ɪnˈrəʊl,(∅ ɪ n) ˈ(r əʊ l)
ensure,ɪnˈʃʊə,(∅ ɪ n) ˈ(ʃ ʊə ∅)
enter,ˈentə,ˈ(∅ e n) (t ə ∅)
enterprise,ˈentəpraɪz,ˈ(∅ e n) (t ə ∅) (pr aɪ z)
entertainment,ˌentəˈteɪnmənt,ˌ(∅ e n) (t ə ∅) ˈ(t eɪ n) (m ə nt)
enthusiasm,ɪnˈθjuːzɪazəm,(∅ ɪ n) ˈ(θj uː ∅) (z ɪ ∅) (∅ a ∅) (z ə m)
entire,ɪnˈtaɪə,(∅ ɪ n) ˈ(t aɪ ∅) (∅ ə ∅)
entirely,ɪnˈtaɪəli,(∅ ɪ n) ˈ(t aɪ ∅) (∅ ə ∅) (l i ∅)
entitle,ɪnˈtaɪtɫ̩,(∅ ɪ n) ˈ(t aɪ ∅) (t ɫ̩ ∅)
entity,ˈentɪti,ˈ(∅ e n) (t ɪ ∅) (t i ∅)
entrance,ɪnˈtrɑːns,(∅ ɪ n) ˈ(tr ɑː ns)
entrepreneur,ˌɒntrəprəˈnɜː,ˌ(∅ ɒ n) (tr ə ∅) (pr ə ∅) ˈ(n ɜː ∅)
entry,ˈentri,ˈ(∅ e n) (tr i ∅)
envelope,ˈenvələʊp,ˈ(∅ e n) (v ə ∅) (l əʊ p)
environment,ɪnˈvaɪrənmənt,(∅ ɪ n) ˈ(v aɪ ∅) (r ə n) (m ə nt)
environmental,ɪnˌvaɪrənˈmentəl,(∅ ɪ n) ˌ(v aɪ ∅) (r ə n) ˈ(m e n) (t ə l)
envision,ɪnˈvɪʒn̩,(∅ ɪ n) ˈ(v ɪ ∅) (ʒ n̩ ∅)
epidemic,ˌepɪˈdemɪk,ˌ(∅ e ∅) (p ɪ ∅) ˈ(d e ∅) (m ɪ k)
episode,ˈepɪsəʊd,ˈ(∅ e ∅) (p ɪ ∅) (s əʊ d)
equal,ˈiːkwəl,ˈ(∅ iː ∅) (kw ə l)
equality,ɪˈkwɒlɪti,(∅ ɪ ∅) ˈ(kw ɒ ∅) (l ɪ ∅) (t i ∅)
equally,ˈiːkwəli,ˈ(∅ iː ∅) (kw ə ∅) (l i ∅)
equation,ɪˈkweɪʒn̩,(∅ ɪ ∅) ˈ(kw eɪ ∅) (ʒ n̩ ∅)
equip,ɪˈkwɪp,(∅ ɪ ∅) ˈ(kw ɪ p)
